name, slug, manufacturer, price, availability, images
Sebamed Anti-dandruff Shampoo 200ml | Ph 5.5 | Oily Hair & Dandruff Prone Scalp | 50% Reduction In 14 Days,sebamed-anti-dandruff-shampoo---200ml-28567,SEBAMED,600.00,True,https://cdn01.pharmeasy.in/dam/products_otc/I00360/sebamed-anti-dandruff-shampoo-200ml-2-1654168792.jpg?dim=300x0&f=jpg&dpr=3&q=60
Everherb (by Pharmeasy) Amla - Immunity Booster Capsules - Natural Vitamin C - Bottle Of 60,everherb-amla---immunity-booster-capsules---natural-vitamin-c---bottle-of-60-237198,EVERHERB,251.58,True,https://cdn01.pharmeasy.in/dam/products_otc/T18833/everherb-by-pharmeasy-amla-immunity-booster-capsules-natural-vitamin-c-bottle-of-60-2-1661863079.jpg?dim=300x0&f=jpg&dpr=3&q=60
Kapiva Amla Health Juice Bottle Of 1 L,kapiva-amla-health-juice-bottle-of-1-l-178890,KAPIVA,284.05,True,https://cdn01.pharmeasy.in/dam/products_otc/I10592/kapiva-amla-health-juice-bottle-of-1-l-2-1657184246.jpg?dim=300x0&f=jpg&dpr=3&q=60
Candid Tv Suspension 75ml,candid-tv-suspension-75ml-183181,CANDID,251.17,True,https://cdn01.pharmeasy.in/dam/products_otc/377845/candid-tv-suspension-75ml-2-1654077696.jpg?dim=300x0&f=jpg&dpr=3&q=60
Navratna Ayurvedic Cool Hair Oil Bottle Of 200 Ml,navratna-ayurvedic-cool-hair-oil-bottle-of-200-ml-232204,NAVRATNA,150.00,True,https://cdn01.pharmeasy.in/dam/products_otc/Y86033/navratna-ayurvedic-cool-hair-oil-bottle-of-200-ml-2-1654233081.jpg?dim=300x0&f=jpg&dpr=3&q=60
Hair 4u Shampoo Bottle - 100 Ml,hair-4u-shampoo-bottle---100-ml-172865,HAIR 4U,410.00,True,https://cdn01.pharmeasy.in/dam/products_otc/269302/hair-4u-shampoo-bottle-100-ml-1-1654077737.jpg?dim=300x0&f=jpg&dpr=3&q=60
Scalpe Pro  Anti-dandruff Shampoo  Bottle Of 100 Ml,scalpe-pro-anti-dandruff-shampoo-bottle-of-100-ml-229527,SCALPE,85.10,True,https://cdn01.pharmeasy.in/dam/products_otc/E01851/scalpe-pro-anti-dandruff-shampoo-bottle-of-100-ml-2-1655118933.jpg?dim=300x0&f=jpg&dpr=3&q=60
New Hair 4u 10% Spray Bottle Of 60 Ml,new-hair-4u-10-spray-bottle-of-60-ml-172867,HAIR 4U,928.00,True,https://cdn01.pharmeasy.in/dam/products_otc/269320/new-hair-4u-10-spray-bottle-of-60-ml-1-1654077845.jpg?dim=300x0&f=jpg&dpr=3&q=60
Sebamed Everyday Shampoo 200ml |ph 5.5 | Normal To Dry Hair | Mild Formula | Gives Moisture & Volume,sebamed-everyday-shampoo---200ml-28429,SEBAMED,599.00,True,https://cdn01.pharmeasy.in/dam/products_otc/196232/sebamed-everyday-shampoo-200ml-1-1654078492.jpg?dim=300x0&f=jpg&dpr=3&q=60
Selsun Daily Bottle Of 120ml Shampoo,selsun-daily-bottle-of-120ml-shampoo-212592,SELSUN,349.00,True,https://cdn01.pharmeasy.in/dam/products_otc/I38335/selsun-daily-bottle-of-120ml-shampoo-1-1654166362.jpg?dim=300x0&f=jpg&dpr=3&q=60
Sebamed Anti-hairloss Shampoo 200ml | Ph 5.5 | Reduces Hairloss | Caffeine & Gingko Biloba,sebamed-anti-hairloss-shampoo---200ml-28569,SEBAMED,650.00,True,https://cdn01.pharmeasy.in/dam/products_otc/I01272/sebamed-anti-hairloss-shampoo-200ml-1-1654168775.jpg?dim=300x0&f=jpg&dpr=3&q=60
Perlice Permethrin Cream - 120g,perlice-permethrin-cream---120g-191689,PERLICE,239.23,True,https://cdn01.pharmeasy.in/dam/products_otc/I12434/perlice-permethrin-cream-120g-2-1654251557.jpg?dim=300x0&f=jpg&dpr=3&q=60
Scalpe Plus Anti Dandruff Shampoo Bottle Of 75 Ml,scalpe-plus-anti-dandruff-shampoo-bottle-of-75-ml-11943,SCALPE,140.00,True,https://cdn01.pharmeasy.in/dam/products_otc/270382/scalpe-plus-anti-dandruff-shampoo-bottle-of-75-ml-2-1663587003.jpg?dim=300x0&f=jpg&dpr=3&q=60
Everherb (by Pharmeasy) Amla Juice-rich In Vitamin C-natural Immunity Booster - 1 Litre Bottle,everherb-amla-juice-rich-in-vitamin-c-natural-immunity-booster---1-litre-bottle-501052,EVERHERB,199.50,True,https://cdn01.pharmeasy.in/dam/products_otc/D92359/everherb-by-pharmeasy-amla-juice-rich-in-vitamin-c-natural-immunity-booster-1-litre-bottle-2-1654169607.jpg?dim=300x0&f=jpg&dpr=3&q=60
Selsun Shampoo 120ml,selsun-shampoo-120ml-21836,SELSUN,348.63,True,https://cdn01.pharmeasy.in/dam/products_otc/157655/selsun-shampoo-120ml-2-1654078296.jpg?dim=300x0&f=jpg&dpr=3&q=60
Perfectil Skin Care Tablets Box Of 30,perfectil-skin-care-tablets-box-of-30-188925,PERFECTIL,500.00,True,https://cdn01.pharmeasy.in/dam/products_otc/369035/perfectil-skin-care-tablets-box-of-30-2-1654077709.jpg?dim=300x0&f=jpg&dpr=3&q=60
Triclenz Hair Cleanser Bottle Of 250 Ml,triclenz-hair-cleanser-bottle-of-250-ml-175810,TRICLENZ,470.00,True,https://cdn01.pharmeasy.in/dam/products_otc/I09514/triclenz-hair-cleanser-bottle-of-250-ml-1-1654167888.jpg?dim=300x0&f=jpg&dpr=3&q=60
New Hair 4u 5% Hair Spray Bottle Of 60 Ml,new-hair-4u-5-hair-spray-bottle-of-60-ml-216670,HAIR 4U,736.00,True,https://cdn01.pharmeasy.in/dam/products_otc/I42413/new-hair-4u-5-hair-spray-bottle-of-60-ml-1-1654165839.jpg?dim=300x0&f=jpg&dpr=3&q=60
Liveasy Wellness Vitamin C (990mg) With Zinc (10mg) - Powerful Immunity Booster - 60 Veg Tablets,liveasy-wellness-vitamin-c-990mg-with-zinc-10mg---powerful-immunity-booster---60-veg-tablets-501054,LIVEASY,399.50,True,https://cdn01.pharmeasy.in/dam/products_otc/E85132/liveasy-wellness-vitamin-c-990mg-with-zinc-10mg-powerful-immunity-booster-60-veg-tablets-2-1661760130.jpg?dim=300x0&f=jpg&dpr=3&q=60
Indulekha Bringha Hair Oil Bottle Of 50 Ml,indulekha-bringha-hair-oil-bottle-of-50-ml-193316,INDULEKHA,234.00,True,https://cdn01.pharmeasy.in/dam/products_otc/I14061/indulekha-bringha-hair-oil-bottle-of-50-ml-2-1654167331.jpg?dim=300x0&f=jpg&dpr=3&q=60
Sebamed Anti-dandruff Shampoo 200ml | Ph 5.5 | Oily Hair & Dandruff Prone Scalp | 50% Reduction In 14 Days,sebamed-anti-dandruff-shampoo---200ml-28567,SEBAMED,600.00,True,https://cdn01.pharmeasy.in/dam/products_otc/I00360/sebamed-anti-dandruff-shampoo-200ml-2-1654168792.jpg?dim=300x0&f=jpg&dpr=3&q=60
Everherb (by Pharmeasy) Amla - Immunity Booster Capsules - Natural Vitamin C - Bottle Of 60,everherb-amla---immunity-booster-capsules---natural-vitamin-c---bottle-of-60-237198,EVERHERB,251.58,True,https://cdn01.pharmeasy.in/dam/products_otc/T18833/everherb-by-pharmeasy-amla-immunity-booster-capsules-natural-vitamin-c-bottle-of-60-2-1661863079.jpg?dim=300x0&f=jpg&dpr=3&q=60
Kapiva Amla Health Juice Bottle Of 1 L,kapiva-amla-health-juice-bottle-of-1-l-178890,KAPIVA,284.05,True,https://cdn01.pharmeasy.in/dam/products_otc/I10592/kapiva-amla-health-juice-bottle-of-1-l-2-1657184246.jpg?dim=300x0&f=jpg&dpr=3&q=60
Candid Tv Suspension 75ml,candid-tv-suspension-75ml-183181,CANDID,251.17,True,https://cdn01.pharmeasy.in/dam/products_otc/377845/candid-tv-suspension-75ml-2-1654077696.jpg?dim=300x0&f=jpg&dpr=3&q=60
Navratna Ayurvedic Cool Hair Oil Bottle Of 200 Ml,navratna-ayurvedic-cool-hair-oil-bottle-of-200-ml-232204,NAVRATNA,150.00,True,https://cdn01.pharmeasy.in/dam/products_otc/Y86033/navratna-ayurvedic-cool-hair-oil-bottle-of-200-ml-2-1654233081.jpg?dim=300x0&f=jpg&dpr=3&q=60
Hair 4u Shampoo Bottle - 100 Ml,hair-4u-shampoo-bottle---100-ml-172865,HAIR 4U,410.00,True,https://cdn01.pharmeasy.in/dam/products_otc/269302/hair-4u-shampoo-bottle-100-ml-1-1654077737.jpg?dim=300x0&f=jpg&dpr=3&q=60
Scalpe Pro  Anti-dandruff Shampoo  Bottle Of 100 Ml,scalpe-pro-anti-dandruff-shampoo-bottle-of-100-ml-229527,SCALPE,85.10,True,https://cdn01.pharmeasy.in/dam/products_otc/E01851/scalpe-pro-anti-dandruff-shampoo-bottle-of-100-ml-2-1655118933.jpg?dim=300x0&f=jpg&dpr=3&q=60
New Hair 4u 10% Spray Bottle Of 60 Ml,new-hair-4u-10-spray-bottle-of-60-ml-172867,HAIR 4U,928.00,True,https://cdn01.pharmeasy.in/dam/products_otc/269320/new-hair-4u-10-spray-bottle-of-60-ml-1-1654077845.jpg?dim=300x0&f=jpg&dpr=3&q=60
Sebamed Everyday Shampoo 200ml |ph 5.5 | Normal To Dry Hair | Mild Formula | Gives Moisture & Volume,sebamed-everyday-shampoo---200ml-28429,SEBAMED,599.00,True,https://cdn01.pharmeasy.in/dam/products_otc/196232/sebamed-everyday-shampoo-200ml-1-1654078492.jpg?dim=300x0&f=jpg&dpr=3&q=60
Selsun Daily Bottle Of 120ml Shampoo,selsun-daily-bottle-of-120ml-shampoo-212592,SELSUN,349.00,True,https://cdn01.pharmeasy.in/dam/products_otc/I38335/selsun-daily-bottle-of-120ml-shampoo-1-1654166362.jpg?dim=300x0&f=jpg&dpr=3&q=60
Sebamed Anti-hairloss Shampoo 200ml | Ph 5.5 | Reduces Hairloss | Caffeine & Gingko Biloba,sebamed-anti-hairloss-shampoo---200ml-28569,SEBAMED,650.00,True,https://cdn01.pharmeasy.in/dam/products_otc/I01272/sebamed-anti-hairloss-shampoo-200ml-1-1654168775.jpg?dim=300x0&f=jpg&dpr=3&q=60
Perlice Permethrin Cream - 120g,perlice-permethrin-cream---120g-191689,PERLICE,239.23,True,https://cdn01.pharmeasy.in/dam/products_otc/I12434/perlice-permethrin-cream-120g-2-1654251557.jpg?dim=300x0&f=jpg&dpr=3&q=60
Scalpe Plus Anti Dandruff Shampoo Bottle Of 75 Ml,scalpe-plus-anti-dandruff-shampoo-bottle-of-75-ml-11943,SCALPE,140.00,True,https://cdn01.pharmeasy.in/dam/products_otc/270382/scalpe-plus-anti-dandruff-shampoo-bottle-of-75-ml-2-1663587003.jpg?dim=300x0&f=jpg&dpr=3&q=60
Everherb (by Pharmeasy) Amla Juice-rich In Vitamin C-natural Immunity Booster - 1 Litre Bottle,everherb-amla-juice-rich-in-vitamin-c-natural-immunity-booster---1-litre-bottle-501052,EVERHERB,199.50,True,https://cdn01.pharmeasy.in/dam/products_otc/D92359/everherb-by-pharmeasy-amla-juice-rich-in-vitamin-c-natural-immunity-booster-1-litre-bottle-2-1654169607.jpg?dim=300x0&f=jpg&dpr=3&q=60
Selsun Shampoo 120ml,selsun-shampoo-120ml-21836,SELSUN,348.63,True,https://cdn01.pharmeasy.in/dam/products_otc/157655/selsun-shampoo-120ml-2-1654078296.jpg?dim=300x0&f=jpg&dpr=3&q=60
Perfectil Skin Care Tablets Box Of 30,perfectil-skin-care-tablets-box-of-30-188925,PERFECTIL,500.00,True,https://cdn01.pharmeasy.in/dam/products_otc/369035/perfectil-skin-care-tablets-box-of-30-2-1654077709.jpg?dim=300x0&f=jpg&dpr=3&q=60
Triclenz Hair Cleanser Bottle Of 250 Ml,triclenz-hair-cleanser-bottle-of-250-ml-175810,TRICLENZ,470.00,True,https://cdn01.pharmeasy.in/dam/products_otc/I09514/triclenz-hair-cleanser-bottle-of-250-ml-1-1654167888.jpg?dim=300x0&f=jpg&dpr=3&q=60
New Hair 4u 5% Hair Spray Bottle Of 60 Ml,new-hair-4u-5-hair-spray-bottle-of-60-ml-216670,HAIR 4U,736.00,True,https://cdn01.pharmeasy.in/dam/products_otc/I42413/new-hair-4u-5-hair-spray-bottle-of-60-ml-1-1654165839.jpg?dim=300x0&f=jpg&dpr=3&q=60
Liveasy Wellness Vitamin C (990mg) With Zinc (10mg) - Powerful Immunity Booster - 60 Veg Tablets,liveasy-wellness-vitamin-c-990mg-with-zinc-10mg---powerful-immunity-booster---60-veg-tablets-501054,LIVEASY,399.50,True,https://cdn01.pharmeasy.in/dam/products_otc/E85132/liveasy-wellness-vitamin-c-990mg-with-zinc-10mg-powerful-immunity-booster-60-veg-tablets-2-1661760130.jpg?dim=300x0&f=jpg&dpr=3&q=60
Indulekha Bringha Hair Oil Bottle Of 50 Ml,indulekha-bringha-hair-oil-bottle-of-50-ml-193316,INDULEKHA,234.00,True,https://cdn01.pharmeasy.in/dam/products_otc/I14061/indulekha-bringha-hair-oil-bottle-of-50-ml-2-1654167331.jpg?dim=300x0&f=jpg&dpr=3&q=60
Sebamed Anti-dandruff Shampoo 200ml | Ph 5.5 | Oily Hair & Dandruff Prone Scalp | 50% Reduction In 14 Days,sebamed-anti-dandruff-shampoo---200ml-28567,SEBAMED,600.00,True,https://cdn01.pharmeasy.in/dam/products_otc/I00360/sebamed-anti-dandruff-shampoo-200ml-2-1654168792.jpg?dim=300x0&f=jpg&dpr=3&q=60
Everherb (by Pharmeasy) Amla - Immunity Booster Capsules - Natural Vitamin C - Bottle Of 60,everherb-amla---immunity-booster-capsules---natural-vitamin-c---bottle-of-60-237198,EVERHERB,251.58,True,https://cdn01.pharmeasy.in/dam/products_otc/T18833/everherb-by-pharmeasy-amla-immunity-booster-capsules-natural-vitamin-c-bottle-of-60-2-1661863079.jpg?dim=300x0&f=jpg&dpr=3&q=60
Kapiva Amla Health Juice Bottle Of 1 L,kapiva-amla-health-juice-bottle-of-1-l-178890,KAPIVA,284.05,True,https://cdn01.pharmeasy.in/dam/products_otc/I10592/kapiva-amla-health-juice-bottle-of-1-l-2-1657184246.jpg?dim=300x0&f=jpg&dpr=3&q=60
Candid Tv Suspension 75ml,candid-tv-suspension-75ml-183181,CANDID,251.17,True,https://cdn01.pharmeasy.in/dam/products_otc/377845/candid-tv-suspension-75ml-2-1654077696.jpg?dim=300x0&f=jpg&dpr=3&q=60
Navratna Ayurvedic Cool Hair Oil Bottle Of 200 Ml,navratna-ayurvedic-cool-hair-oil-bottle-of-200-ml-232204,NAVRATNA,150.00,True,https://cdn01.pharmeasy.in/dam/products_otc/Y86033/navratna-ayurvedic-cool-hair-oil-bottle-of-200-ml-2-1654233081.jpg?dim=300x0&f=jpg&dpr=3&q=60
Hair 4u Shampoo Bottle - 100 Ml,hair-4u-shampoo-bottle---100-ml-172865,HAIR 4U,410.00,True,https://cdn01.pharmeasy.in/dam/products_otc/269302/hair-4u-shampoo-bottle-100-ml-1-1654077737.jpg?dim=300x0&f=jpg&dpr=3&q=60
Scalpe Pro  Anti-dandruff Shampoo  Bottle Of 100 Ml,scalpe-pro-anti-dandruff-shampoo-bottle-of-100-ml-229527,SCALPE,85.10,True,https://cdn01.pharmeasy.in/dam/products_otc/E01851/scalpe-pro-anti-dandruff-shampoo-bottle-of-100-ml-2-1655118933.jpg?dim=300x0&f=jpg&dpr=3&q=60
New Hair 4u 10% Spray Bottle Of 60 Ml,new-hair-4u-10-spray-bottle-of-60-ml-172867,HAIR 4U,928.00,True,https://cdn01.pharmeasy.in/dam/products_otc/269320/new-hair-4u-10-spray-bottle-of-60-ml-1-1654077845.jpg?dim=300x0&f=jpg&dpr=3&q=60
Sebamed Everyday Shampoo 200ml |ph 5.5 | Normal To Dry Hair | Mild Formula | Gives Moisture & Volume,sebamed-everyday-shampoo---200ml-28429,SEBAMED,599.00,True,https://cdn01.pharmeasy.in/dam/products_otc/196232/sebamed-everyday-shampoo-200ml-1-1654078492.jpg?dim=300x0&f=jpg&dpr=3&q=60
Selsun Daily Bottle Of 120ml Shampoo,selsun-daily-bottle-of-120ml-shampoo-212592,SELSUN,349.00,True,https://cdn01.pharmeasy.in/dam/products_otc/I38335/selsun-daily-bottle-of-120ml-shampoo-1-1654166362.jpg?dim=300x0&f=jpg&dpr=3&q=60
Sebamed Anti-hairloss Shampoo 200ml | Ph 5.5 | Reduces Hairloss | Caffeine & Gingko Biloba,sebamed-anti-hairloss-shampoo---200ml-28569,SEBAMED,650.00,True,https://cdn01.pharmeasy.in/dam/products_otc/I01272/sebamed-anti-hairloss-shampoo-200ml-1-1654168775.jpg?dim=300x0&f=jpg&dpr=3&q=60
Perlice Permethrin Cream - 120g,perlice-permethrin-cream---120g-191689,PERLICE,239.23,True,https://cdn01.pharmeasy.in/dam/products_otc/I12434/perlice-permethrin-cream-120g-2-1654251557.jpg?dim=300x0&f=jpg&dpr=3&q=60
Scalpe Plus Anti Dandruff Shampoo Bottle Of 75 Ml,scalpe-plus-anti-dandruff-shampoo-bottle-of-75-ml-11943,SCALPE,140.00,True,https://cdn01.pharmeasy.in/dam/products_otc/270382/scalpe-plus-anti-dandruff-shampoo-bottle-of-75-ml-2-1663587003.jpg?dim=300x0&f=jpg&dpr=3&q=60
Everherb (by Pharmeasy) Amla Juice-rich In Vitamin C-natural Immunity Booster - 1 Litre Bottle,everherb-amla-juice-rich-in-vitamin-c-natural-immunity-booster---1-litre-bottle-501052,EVERHERB,199.50,True,https://cdn01.pharmeasy.in/dam/products_otc/D92359/everherb-by-pharmeasy-amla-juice-rich-in-vitamin-c-natural-immunity-booster-1-litre-bottle-2-1654169607.jpg?dim=300x0&f=jpg&dpr=3&q=60
Selsun Shampoo 120ml,selsun-shampoo-120ml-21836,SELSUN,348.63,True,https://cdn01.pharmeasy.in/dam/products_otc/157655/selsun-shampoo-120ml-2-1654078296.jpg?dim=300x0&f=jpg&dpr=3&q=60
Perfectil Skin Care Tablets Box Of 30,perfectil-skin-care-tablets-box-of-30-188925,PERFECTIL,500.00,True,https://cdn01.pharmeasy.in/dam/products_otc/369035/perfectil-skin-care-tablets-box-of-30-2-1654077709.jpg?dim=300x0&f=jpg&dpr=3&q=60
Triclenz Hair Cleanser Bottle Of 250 Ml,triclenz-hair-cleanser-bottle-of-250-ml-175810,TRICLENZ,470.00,True,https://cdn01.pharmeasy.in/dam/products_otc/I09514/triclenz-hair-cleanser-bottle-of-250-ml-1-1654167888.jpg?dim=300x0&f=jpg&dpr=3&q=60
New Hair 4u 5% Hair Spray Bottle Of 60 Ml,new-hair-4u-5-hair-spray-bottle-of-60-ml-216670,HAIR 4U,736.00,True,https://cdn01.pharmeasy.in/dam/products_otc/I42413/new-hair-4u-5-hair-spray-bottle-of-60-ml-1-1654165839.jpg?dim=300x0&f=jpg&dpr=3&q=60
Liveasy Wellness Vitamin C (990mg) With Zinc (10mg) - Powerful Immunity Booster - 60 Veg Tablets,liveasy-wellness-vitamin-c-990mg-with-zinc-10mg---powerful-immunity-booster---60-veg-tablets-501054,LIVEASY,399.50,True,https://cdn01.pharmeasy.in/dam/products_otc/E85132/liveasy-wellness-vitamin-c-990mg-with-zinc-10mg-powerful-immunity-booster-60-veg-tablets-2-1661760130.jpg?dim=300x0&f=jpg&dpr=3&q=60
Indulekha Bringha Hair Oil Bottle Of 50 Ml,indulekha-bringha-hair-oil-bottle-of-50-ml-193316,INDULEKHA,234.00,True,https://cdn01.pharmeasy.in/dam/products_otc/I14061/indulekha-bringha-hair-oil-bottle-of-50-ml-2-1654167331.jpg?dim=300x0&f=jpg&dpr=3&q=60
Sebamed Anti-dandruff Shampoo 200ml | Ph 5.5 | Oily Hair & Dandruff Prone Scalp | 50% Reduction In 14 Days,sebamed-anti-dandruff-shampoo---200ml-28567,SEBAMED,600.00,True,https://cdn01.pharmeasy.in/dam/products_otc/I00360/sebamed-anti-dandruff-shampoo-200ml-2-1654168792.jpg?dim=300x0&f=jpg&dpr=3&q=60
Everherb (by Pharmeasy) Amla - Immunity Booster Capsules - Natural Vitamin C - Bottle Of 60,everherb-amla---immunity-booster-capsules---natural-vitamin-c---bottle-of-60-237198,EVERHERB,251.58,True,https://cdn01.pharmeasy.in/dam/products_otc/T18833/everherb-by-pharmeasy-amla-immunity-booster-capsules-natural-vitamin-c-bottle-of-60-2-1661863079.jpg?dim=300x0&f=jpg&dpr=3&q=60
Kapiva Amla Health Juice Bottle Of 1 L,kapiva-amla-health-juice-bottle-of-1-l-178890,KAPIVA,284.05,True,https://cdn01.pharmeasy.in/dam/products_otc/I10592/kapiva-amla-health-juice-bottle-of-1-l-2-1657184246.jpg?dim=300x0&f=jpg&dpr=3&q=60
Candid Tv Suspension 75ml,candid-tv-suspension-75ml-183181,CANDID,251.17,True,https://cdn01.pharmeasy.in/dam/products_otc/377845/candid-tv-suspension-75ml-2-1654077696.jpg?dim=300x0&f=jpg&dpr=3&q=60
Navratna Ayurvedic Cool Hair Oil Bottle Of 200 Ml,navratna-ayurvedic-cool-hair-oil-bottle-of-200-ml-232204,NAVRATNA,150.00,True,https://cdn01.pharmeasy.in/dam/products_otc/Y86033/navratna-ayurvedic-cool-hair-oil-bottle-of-200-ml-2-1654233081.jpg?dim=300x0&f=jpg&dpr=3&q=60
Hair 4u Shampoo Bottle - 100 Ml,hair-4u-shampoo-bottle---100-ml-172865,HAIR 4U,410.00,True,https://cdn01.pharmeasy.in/dam/products_otc/269302/hair-4u-shampoo-bottle-100-ml-1-1654077737.jpg?dim=300x0&f=jpg&dpr=3&q=60
Scalpe Pro  Anti-dandruff Shampoo  Bottle Of 100 Ml,scalpe-pro-anti-dandruff-shampoo-bottle-of-100-ml-229527,SCALPE,85.10,True,https://cdn01.pharmeasy.in/dam/products_otc/E01851/scalpe-pro-anti-dandruff-shampoo-bottle-of-100-ml-2-1655118933.jpg?dim=300x0&f=jpg&dpr=3&q=60
New Hair 4u 10% Spray Bottle Of 60 Ml,new-hair-4u-10-spray-bottle-of-60-ml-172867,HAIR 4U,928.00,True,https://cdn01.pharmeasy.in/dam/products_otc/269320/new-hair-4u-10-spray-bottle-of-60-ml-1-1654077845.jpg?dim=300x0&f=jpg&dpr=3&q=60
Sebamed Everyday Shampoo 200ml |ph 5.5 | Normal To Dry Hair | Mild Formula | Gives Moisture & Volume,sebamed-everyday-shampoo---200ml-28429,SEBAMED,599.00,True,https://cdn01.pharmeasy.in/dam/products_otc/196232/sebamed-everyday-shampoo-200ml-1-1654078492.jpg?dim=300x0&f=jpg&dpr=3&q=60
Selsun Daily Bottle Of 120ml Shampoo,selsun-daily-bottle-of-120ml-shampoo-212592,SELSUN,349.00,True,https://cdn01.pharmeasy.in/dam/products_otc/I38335/selsun-daily-bottle-of-120ml-shampoo-1-1654166362.jpg?dim=300x0&f=jpg&dpr=3&q=60
Sebamed Anti-hairloss Shampoo 200ml | Ph 5.5 | Reduces Hairloss | Caffeine & Gingko Biloba,sebamed-anti-hairloss-shampoo---200ml-28569,SEBAMED,650.00,True,https://cdn01.pharmeasy.in/dam/products_otc/I01272/sebamed-anti-hairloss-shampoo-200ml-1-1654168775.jpg?dim=300x0&f=jpg&dpr=3&q=60
Perlice Permethrin Cream - 120g,perlice-permethrin-cream---120g-191689,PERLICE,239.23,True,https://cdn01.pharmeasy.in/dam/products_otc/I12434/perlice-permethrin-cream-120g-2-1654251557.jpg?dim=300x0&f=jpg&dpr=3&q=60
Scalpe Plus Anti Dandruff Shampoo Bottle Of 75 Ml,scalpe-plus-anti-dandruff-shampoo-bottle-of-75-ml-11943,SCALPE,140.00,True,https://cdn01.pharmeasy.in/dam/products_otc/270382/scalpe-plus-anti-dandruff-shampoo-bottle-of-75-ml-2-1663587003.jpg?dim=300x0&f=jpg&dpr=3&q=60
Everherb (by Pharmeasy) Amla Juice-rich In Vitamin C-natural Immunity Booster - 1 Litre Bottle,everherb-amla-juice-rich-in-vitamin-c-natural-immunity-booster---1-litre-bottle-501052,EVERHERB,199.50,True,https://cdn01.pharmeasy.in/dam/products_otc/D92359/everherb-by-pharmeasy-amla-juice-rich-in-vitamin-c-natural-immunity-booster-1-litre-bottle-2-1654169607.jpg?dim=300x0&f=jpg&dpr=3&q=60
Selsun Shampoo 120ml,selsun-shampoo-120ml-21836,SELSUN,348.63,True,https://cdn01.pharmeasy.in/dam/products_otc/157655/selsun-shampoo-120ml-2-1654078296.jpg?dim=300x0&f=jpg&dpr=3&q=60
Perfectil Skin Care Tablets Box Of 30,perfectil-skin-care-tablets-box-of-30-188925,PERFECTIL,500.00,True,https://cdn01.pharmeasy.in/dam/products_otc/369035/perfectil-skin-care-tablets-box-of-30-2-1654077709.jpg?dim=300x0&f=jpg&dpr=3&q=60
Triclenz Hair Cleanser Bottle Of 250 Ml,triclenz-hair-cleanser-bottle-of-250-ml-175810,TRICLENZ,470.00,True,https://cdn01.pharmeasy.in/dam/products_otc/I09514/triclenz-hair-cleanser-bottle-of-250-ml-1-1654167888.jpg?dim=300x0&f=jpg&dpr=3&q=60
New Hair 4u 5% Hair Spray Bottle Of 60 Ml,new-hair-4u-5-hair-spray-bottle-of-60-ml-216670,HAIR 4U,736.00,True,https://cdn01.pharmeasy.in/dam/products_otc/I42413/new-hair-4u-5-hair-spray-bottle-of-60-ml-1-1654165839.jpg?dim=300x0&f=jpg&dpr=3&q=60
Liveasy Wellness Vitamin C (990mg) With Zinc (10mg) - Powerful Immunity Booster - 60 Veg Tablets,liveasy-wellness-vitamin-c-990mg-with-zinc-10mg---powerful-immunity-booster---60-veg-tablets-501054,LIVEASY,399.50,True,https://cdn01.pharmeasy.in/dam/products_otc/E85132/liveasy-wellness-vitamin-c-990mg-with-zinc-10mg-powerful-immunity-booster-60-veg-tablets-2-1661760130.jpg?dim=300x0&f=jpg&dpr=3&q=60
Indulekha Bringha Hair Oil Bottle Of 50 Ml,indulekha-bringha-hair-oil-bottle-of-50-ml-193316,INDULEKHA,234.00,True,https://cdn01.pharmeasy.in/dam/products_otc/I14061/indulekha-bringha-hair-oil-bottle-of-50-ml-2-1654167331.jpg?dim=300x0&f=jpg&dpr=3&q=60
Sebamed Anti-dandruff Shampoo 200ml | Ph 5.5 | Oily Hair & Dandruff Prone Scalp | 50% Reduction In 14 Days,sebamed-anti-dandruff-shampoo---200ml-28567,SEBAMED,600.00,True,https://cdn01.pharmeasy.in/dam/products_otc/I00360/sebamed-anti-dandruff-shampoo-200ml-2-1654168792.jpg?dim=300x0&f=jpg&dpr=3&q=60
Everherb (by Pharmeasy) Amla - Immunity Booster Capsules - Natural Vitamin C - Bottle Of 60,everherb-amla---immunity-booster-capsules---natural-vitamin-c---bottle-of-60-237198,EVERHERB,251.58,True,https://cdn01.pharmeasy.in/dam/products_otc/T18833/everherb-by-pharmeasy-amla-immunity-booster-capsules-natural-vitamin-c-bottle-of-60-2-1661863079.jpg?dim=300x0&f=jpg&dpr=3&q=60
Kapiva Amla Health Juice Bottle Of 1 L,kapiva-amla-health-juice-bottle-of-1-l-178890,KAPIVA,284.05,True,https://cdn01.pharmeasy.in/dam/products_otc/I10592/kapiva-amla-health-juice-bottle-of-1-l-2-1657184246.jpg?dim=300x0&f=jpg&dpr=3&q=60
Candid Tv Suspension 75ml,candid-tv-suspension-75ml-183181,CANDID,251.17,True,https://cdn01.pharmeasy.in/dam/products_otc/377845/candid-tv-suspension-75ml-2-1654077696.jpg?dim=300x0&f=jpg&dpr=3&q=60
Navratna Ayurvedic Cool Hair Oil Bottle Of 200 Ml,navratna-ayurvedic-cool-hair-oil-bottle-of-200-ml-232204,NAVRATNA,150.00,True,https://cdn01.pharmeasy.in/dam/products_otc/Y86033/navratna-ayurvedic-cool-hair-oil-bottle-of-200-ml-2-1654233081.jpg?dim=300x0&f=jpg&dpr=3&q=60
